#   r   lmenc_tot   lmenc_bar   lmenc_dm
#   [kpc]   [log10Msun]   [log10Msun]   [log10Msun]
19.600    11.144    10.988    10.622
19.700    11.144    10.988    10.625
19.800    11.145    10.988    10.627
19.900    11.146    10.989    10.629
20.000    11.147    10.989    10.632
20.100    11.148    10.989    10.634
20.200    11.148    10.989    10.636
20.300    11.149    10.989    10.638
20.400    11.150    10.989    10.641
20.500    11.151    10.989    10.643
20.600    11.151    10.989    10.645
20.700    11.152    10.989    10.647
20.800    11.153    10.990    10.649
20.900    11.154    10.990    10.651
21.000    11.154    10.990    10.654
21.100    11.155    10.990    10.656
21.200    11.156    10.990    10.658
21.300    11.157    10.990    10.660
21.400    11.157    10.990    10.662
21.500    11.158    10.990    10.664
21.600    11.159    10.990    10.666
21.700    11.159    10.990    10.668
21.800    11.160    10.990    10.670
21.900    11.161    10.990    10.672
22.000    11.162    10.991    10.674
22.100    11.162    10.991    10.676
22.200    11.163    10.991    10.678
22.300    11.164    10.991    10.680
22.400    11.164    10.991    10.682
22.500    11.165    10.991    10.684
22.600    11.166    10.991    10.686
22.700    11.166    10.991    10.688
22.800    11.167    10.991    10.690
22.900    11.168    10.991    10.692
23.000    11.168    10.991    10.694
23.100    11.169    10.991    10.695
23.200    11.170    10.991    10.697
23.300    11.170    10.991    10.699
23.400    11.171    10.991    10.701
23.500    11.172    10.991    10.703
23.600    11.172    10.991    10.705
23.700    11.173    10.991    10.706
23.800    11.174    10.992    10.708
23.900    11.174    10.992    10.710
24.000    11.175    10.992    10.712
24.100    11.176    10.992    10.714
24.200    11.176    10.992    10.715
24.300    11.177    10.992    10.717
24.400    11.177    10.992    10.719
24.500    11.178    10.992    10.721
24.600    11.179    10.992    10.722
24.700    11.179    10.992    10.724
24.800    11.180    10.992    10.726
24.900    11.181    10.992    10.727
25.000    11.181    10.992    10.729
25.100    11.182    10.992    10.731
25.200    11.182    10.992    10.732
25.300    11.183    10.992    10.734
25.400    11.184    10.992    10.736
25.500    11.184    10.992    10.737
25.600    11.185    10.992    10.739
25.700    11.185    10.992    10.741
25.800    11.186    10.992    10.742
25.900    11.187    10.992    10.744
26.000    11.187    10.992    10.745
26.100    11.188    10.992    10.747
26.200    11.188    10.992    10.749
26.300    11.189    10.992    10.750
26.400    11.190    10.992    10.752
26.500    11.190    10.992    10.753
26.600    11.191    10.992    10.755
26.700    11.191    10.992    10.756
26.800    11.192    10.993    10.758
26.900    11.192    10.993    10.759
27.000    11.193    10.993    10.761
27.100    11.194    10.993    10.762
27.200    11.194    10.993    10.764
27.300    11.195    10.993    10.765
27.400    11.195    10.993    10.767
27.500    11.196    10.993    10.768
27.600    11.196    10.993    10.770
27.700    11.197    10.993    10.771
27.800    11.197    10.993    10.773
27.900    11.198    10.993    10.774
28.000    11.199    10.993    10.776
28.100    11.199    10.993    10.777
28.200    11.200    10.993    10.778
28.300    11.200    10.993    10.780
28.400    11.201    10.993    10.781
28.500    11.201    10.993    10.783
28.600    11.202    10.993    10.784
28.700    11.202    10.993    10.785
28.800    11.203    10.993    10.787
28.900    11.203    10.993    10.788
29.000    11.204    10.993    10.790
29.100    11.205    10.993    10.791
29.200    11.205    10.993    10.792
29.300    11.206    10.993    10.794
29.400    11.206    10.993    10.795
29.500    11.207    10.993    10.796
29.600    11.207    10.993    10.798
29.700    11.208    10.993    10.799
29.800    11.208    10.993    10.800
29.900    11.209    10.993    10.802
30.000    11.209    10.993    10.803
30.100    11.210    10.993    10.804
30.200    11.210    10.993    10.805
30.300    11.211    10.993    10.807
30.400    11.211    10.993    10.808
30.500    11.212    10.993    10.809
30.600    11.212    10.993    10.811
30.700    11.213    10.993    10.812
30.800    11.213    10.993    10.813
30.900    11.214    10.993    10.814
31.000    11.214    10.993    10.816
31.100    11.215    10.993    10.817
31.200    11.215    10.993    10.818
31.300    11.216    10.993    10.819
31.400    11.216    10.993    10.821
31.500    11.217    10.993    10.822
31.600    11.217    10.993    10.823
31.700    11.218    10.993    10.824
31.800    11.218    10.993    10.825
31.900    11.219    10.993    10.827
32.000    11.219    10.993    10.828
32.100    11.220    10.993    10.829
32.200    11.220    10.993    10.830
32.300    11.221    10.993    10.831
32.400    11.221    10.993    10.833
32.500    11.222    10.993    10.834
32.600    11.222    10.993    10.835
32.700    11.223    10.993    10.836
32.800    11.223    10.993    10.837
32.900    11.224    10.993    10.838
33.000    11.224    10.993    10.840
33.100    11.225    10.993    10.841
33.200    11.225    10.993    10.842
33.300    11.226    10.993    10.843
33.400    11.226    10.993    10.844
33.500    11.227    10.993    10.845
33.600    11.227    10.993    10.846
33.700    11.227    10.993    10.847
33.800    11.228    10.993    10.849
33.900    11.228    10.993    10.850
34.000    11.229    10.993    10.851
34.100    11.229    10.993    10.852
34.200    11.230    10.993    10.853
34.300    11.230    10.993    10.854
34.400    11.231    10.993    10.855
34.500    11.231    10.993    10.856
34.600    11.232    10.993    10.857
34.700    11.232    10.993    10.858
34.800    11.233    10.993    10.859
34.900    11.233    10.993    10.860
35.000    11.233    10.993    10.861
35.100    11.234    10.993    10.863
35.200    11.234    10.993    10.864
35.300    11.235    10.993    10.865
35.400    11.235    10.993    10.866
35.500    11.236    10.993    10.867
35.600    11.236    10.993    10.868
35.700    11.237    10.993    10.869
35.800    11.237    10.993    10.870
35.900    11.237    10.993    10.871
36.000    11.238    10.993    10.872
36.100    11.238    10.993    10.873
36.200    11.239    10.993    10.874
36.300    11.239    10.993    10.875
36.400    11.240    10.993    10.876
36.500    11.240    10.993    10.877
36.600    11.240    10.993    10.878
36.700    11.241    10.993    10.879
36.800    11.241    10.993    10.880
36.900    11.242    10.993    10.881
37.000    11.242    10.993    10.882
37.100    11.243    10.993    10.883
37.200    11.243    10.993    10.884
37.300    11.243    10.993    10.885
37.400    11.244    10.993    10.886
37.500    11.244    10.993    10.887
37.600    11.245    10.993    10.888
37.700    11.245    10.993    10.888
37.800    11.246    10.993    10.889
37.900    11.246    10.993    10.890
38.000    11.246    10.993    10.891
38.100    11.247    10.993    10.892
38.200    11.247    10.993    10.893
38.300    11.248    10.993    10.894
38.400    11.248    10.994    10.895
38.500    11.249    10.994    10.896
38.600    11.249    10.994    10.897
38.700    11.249    10.994    10.898
38.800    11.250    10.994    10.899
38.900    11.250    10.994    10.900
39.000    11.251    10.994    10.901
39.100    11.251    10.994    10.901
39.200    11.251    10.994    10.902
39.300    11.252    10.994    10.903
39.400    11.252    10.994    10.904
39.500    11.253    10.994    10.905
39.600    11.253    10.994    10.906
39.700    11.253    10.994    10.907
39.800    11.254    10.994    10.908
39.900    11.254    10.994    10.909
40.000    11.255    10.994    10.909
