#   r   vcirc_tot vcirc_bar   vcirc_dm
#   [kpc]   [km/s]   [km/s]   [km/s]
19.600    172.670    143.592    95.898
19.700    172.352    143.200    95.911
19.800    172.033    142.808    95.924
19.900    171.715    142.415    95.936
20.000    171.396    142.023    95.948
20.100    171.078    141.631    95.959
20.200    170.759    141.239    95.969
20.300    170.441    140.847    95.980
20.400    170.122    140.455    95.989
20.500    169.804    140.063    95.998
20.600    169.486    139.671    96.007
20.700    169.168    139.279    96.015
20.800    168.853    138.891    96.023
20.900    168.567    138.539    96.030
21.000    168.290    138.197    96.037
21.100    168.013    137.855    96.044
21.200    167.736    137.513    96.050
21.300    167.459    137.171    96.055
21.400    167.183    136.830    96.061
21.500    166.906    136.488    96.065
21.600    166.629    136.146    96.070
21.700    166.352    135.804    96.074
21.800    166.075    135.463    96.077
21.900    165.798    135.121    96.081
22.000    165.522    134.779    96.083
22.100    165.245    134.437    96.086
22.200    164.968    134.095    96.088
22.300    164.691    133.754    96.089
22.400    164.415    133.412    96.091
22.500    164.138    133.070    96.092
22.600    163.861    132.728    96.092
22.700    163.585    132.387    96.093
22.800    163.310    132.047    96.092
22.900    163.062    131.741    96.092
23.000    162.823    131.444    96.091
23.100    162.583    131.149    96.090
23.200    162.344    130.854    96.089
23.300    162.105    130.558    96.087
23.400    161.866    130.263    96.085
23.500    161.627    129.967    96.083
23.600    161.388    129.672    96.080
23.700    161.149    129.376    96.077
23.800    160.910    129.081    96.074
23.900    160.671    128.785    96.070
24.000    160.432    128.490    96.066
24.100    160.193    128.195    96.062
24.200    159.954    127.899    96.058
24.300    159.715    127.604    96.053
24.400    159.476    127.308    96.048
24.500    159.237    127.013    96.043
24.600    158.998    126.718    96.037
24.700    158.760    126.422    96.032
24.800    158.521    126.127    96.025
24.900    158.282    125.831    96.019
25.000    158.045    125.538    96.013
25.100    157.832    125.274    96.006
25.200    157.624    125.019    95.999
25.300    157.418    124.765    95.992
25.400    157.213    124.511    95.984
25.500    157.007    124.256    95.976
25.600    156.801    124.002    95.968
25.700    156.595    123.748    95.960
25.800    156.389    123.494    95.952
25.900    156.183    123.240    95.943
26.000    155.977    122.986    95.934
26.100    155.772    122.732    95.925
26.200    155.566    122.478    95.916
26.300    155.360    122.224    95.906
26.400    155.154    121.970    95.896
26.500    154.948    121.716    95.886
26.600    154.743    121.462    95.876
26.700    154.537    121.208    95.866
26.800    154.331    120.954    95.855
26.900    154.126    120.700    95.844
27.000    153.920    120.446    95.833
27.100    153.714    120.192    95.822
27.200    153.509    119.938    95.811
27.300    153.303    119.684    95.799
27.400    153.098    119.430    95.788
27.500    152.913    119.202    95.776
27.600    152.733    118.981    95.764
27.700    152.555    118.763    95.752
27.800    152.378    118.545    95.739
27.900    152.200    118.327    95.727
28.000    152.023    118.109    95.714
28.100    151.846    117.892    95.701
28.200    151.668    117.674    95.688
28.300    151.491    117.456    95.675
28.400    151.314    117.238    95.661
28.500    151.136    117.020    95.648
28.600    150.959    116.802    95.634
28.700    150.782    116.584    95.620
28.800    150.604    116.366    95.606
28.900    150.427    116.148    95.592
29.000    150.250    115.931    95.578
29.100    150.072    115.713    95.563
29.200    149.895    115.495    95.549
29.300    149.718    115.277    95.534
29.400    149.541    115.059    95.519
29.500    149.364    114.841    95.504
29.600    149.186    114.623    95.489
29.700    149.009    114.405    95.473
29.800    148.832    114.187    95.458
29.900    148.655    113.970    95.442
30.000    148.478    113.752    95.427
30.100    148.310    113.546    95.411
30.200    148.151    113.352    95.395
30.300    147.998    113.165    95.379
30.400    147.845    112.978    95.363
30.500    147.691    112.791    95.346
30.600    147.538    112.604    95.330
30.700    147.385    112.417    95.313
30.800    147.231    112.230    95.297
30.900    147.078    112.043    95.280
31.000    146.925    111.856    95.263
31.100    146.772    111.670    95.246
31.200    146.618    111.483    95.229
31.300    146.465    111.296    95.212
31.400    146.312    111.109    95.195
31.500    146.159    110.922    95.177
31.600    146.005    110.735    95.160
31.700    145.852    110.548    95.142
31.800    145.699    110.361    95.124
31.900    145.546    110.174    95.106
32.000    145.393    109.988    95.088
32.100    145.240    109.801    95.070
32.200    145.087    109.614    95.052
32.300    144.933    109.427    95.034
32.400    144.780    109.240    95.016
32.500    144.627    109.053    94.997
32.600    144.474    108.866    94.979
32.700    144.321    108.679    94.960
32.800    144.168    108.492    94.942
32.900    144.015    108.306    94.923
33.000    143.870    108.129    94.904
33.100    143.732    107.962    94.885
33.200    143.598    107.801    94.866
33.300    143.465    107.640    94.847
33.400    143.332    107.480    94.828
33.500    143.199    107.319    94.808
33.600    143.066    107.159    94.789
33.700    142.933    106.998    94.770
33.800    142.800    106.838    94.750
33.900    142.667    106.677    94.731
34.000    142.534    106.516    94.711
34.100    142.401    106.356    94.691
34.200    142.268    106.195    94.671
34.300    142.135    106.035    94.651
34.400    142.002    105.874    94.632
34.500    141.869    105.714    94.612
34.600    141.736    105.553    94.591
34.700    141.603    105.393    94.571
34.800    141.470    105.232    94.551
34.900    141.337    105.072    94.531
35.000    141.204    104.911    94.510
35.100    141.071    104.751    94.490
35.200    140.938    104.590    94.470
35.300    140.805    104.430    94.449
35.400    140.673    104.269    94.428
35.500    140.540    104.109    94.408
35.600    140.407    103.948    94.387
35.700    140.274    103.788    94.366
35.800    140.142    103.627    94.345
35.900    140.009    103.467    94.325
36.000    139.876    103.306    94.304
36.100    139.743    103.146    94.283
36.200    139.620    102.997    94.262
36.300    139.499    102.853    94.240
36.400    139.383    102.715    94.219
36.500    139.267    102.577    94.198
36.600    139.151    102.438    94.177
36.700    139.035    102.300    94.155
36.800    138.918    102.162    94.134
36.900    138.802    102.024    94.113
37.000    138.686    101.886    94.091
37.100    138.570    101.748    94.070
37.200    138.454    101.609    94.048
37.300    138.338    101.471    94.026
37.400    138.222    101.333    94.005
37.500    138.106    101.195    93.983
37.600    137.990    101.057    93.961
37.700    137.874    100.919    93.940
37.800    137.758    100.780    93.918
37.900    137.642    100.642    93.896
38.000    137.526    100.504    93.874
38.100    137.410    100.366    93.852
38.200    137.294    100.228    93.830
38.300    137.178    100.090    93.808
38.400    137.062    99.952    93.786
38.500    136.947    99.813    93.764
38.600    136.831    99.675    93.742
38.700    136.715    99.537    93.719
38.800    136.599    99.399    93.697
38.900    136.483    99.261    93.675
39.000    136.368    99.123    93.653
39.100    136.252    98.984    93.630
39.200    136.136    98.846    93.608
39.300    136.020    98.708    93.585
39.400    135.905    98.570    93.563
39.500    135.789    98.432    93.541
39.600    135.673    98.294    93.518
39.700    135.567    98.168    93.496
39.800    135.461    98.044    93.473
39.900    135.359    97.924    93.450
40.000    135.257    97.805    93.428
