#disk+bulge.total_mass  disk+bulge.r_eff_disk  halo.fdm  dispprof_LINE.sigma0  zheightgaus.sigmaz  geom_1.inc  geom_1.pa  geom_1.xshift  geom_1.yshift  geom_1.vel_shift
10.99436580976077  5.7558540860254395  0.26859234968980755  32.50275641134196  0.38131310991187084  75.56702231117617  148.9383805500771  0.5433936623372158  -0.8753976207934961  16.680131197064668
11.032200058539592  6.073730659287866  0.07360623301892327  33.668585221055935  0.56425467698238  72.89705473796694  146.49511239554954  0.36613491191306125  -0.9412097114701395  18.118355752613112
11.206908307324715  13.058097125343552  0.6007432681447503  33.84561566311186  0.7363421853207431  80.7258452744347  151.60693931641754  -1.3153348109821799  0.059252719827476596  17.41846515986623
10.917316651940109  4.312158295577521  0.02035418918425558  33.09903587972038  0.9226518022819074  71.33021253506752  146.39633193324516  0.23771376046838122  -0.898876761778282  13.555327709085091
11.267710719219789  17.004043736304943  0.07551751185870302  25.80368016557322  0.7591799864169867  79.21986333179113  143.30236762171762  -1.1329358267416092  0.2665558906084522  20.87414788182089
10.853279063509035  3.8289183335335757  0.3676218470557897  23.74356773970783  0.15919079022413665  74.664380665415  148.7261871579771  0.45930724230977993  -0.9043766286636443  14.362270966535505
10.960999240889139  5.275151040154717  0.20387630612358948  31.856844036809846  0.3089455562936087  76.90556909955295  147.3571038884931  0.04770234632065917  -0.6527679972908205  18.088336389143194
10.986637041748894  5.622576897570029  0.02754351514832891  29.577220749038247  0.5014934768620071  74.9793777690531  148.79822107193448  0.2140959946163461  -0.8959914370342976  16.604400034055033
10.992104600176026  5.00462880575675  0.07671293832921466  42.848558981954746  0.3871780091163301  63.230867433520274  145.59869033097831  0.045510842447294975  -0.481809884510645  19.80906315680005
11.144383661890808  7.179176078778179  0.12954291098661655  42.0529607729  0.8617633786605828  63.35133008831282  145.79998817749362  0.018837669611836194  -0.6924605423234002  17.069041923799077
10.960999240889139  5.275151040154717  0.20387630612358948  31.856844036809846  0.3089455562936087  76.90556909955295  147.3571038884931  0.04770234632065917  -0.6527679972908205  18.088336389143194
11.254530737088661  17.37403734238022  0.2534666350172049  24.57240580205916  0.8704866707585345  81.84412822544999  147.25219915988743  -0.7368973960059083  -0.1889139275798346  16.16569211249174
10.898241274253184  3.894629790209183  0.0711651189125117  32.66211634718634  0.4395114522368877  71.9297105416286  145.63875303961024  0.09289297359116966  -1.0280741386969652  12.265010863655363
11.000678281119514  5.427970833888718  0.08185124881198157  29.288487019402364  0.4927397081092059  73.85552071220653  147.1918745953963  0.2944020720452474  -0.7575519975702932  15.172983730499581
11.388559695531614  29.968859237805347  0.6263578875408522  10.862478047218431  0.8194646437923151  78.97600946861886  147.5516764990045  -0.32254630826768516  -0.2863648231982614  18.50923638388994
11.059036784419188  6.087795890877734  0.10043827388286837  41.000127393235594  0.33313174673832424  60.24713312686058  146.60533038454668  -0.08325523904944743  -0.7181260271932314  16.549458026791086
10.915880268549344  4.197086194329673  0.3410440827229998  32.27299564591017  0.9742987030255496  69.6444375513068  144.67460566909432  0.27216095930181705  -1.0329072030685238  15.765070261143649
11.039430722216608  6.350016838364356  0.011964766463786218  34.36479177705884  0.46917169397426167  74.89716778630066  146.16725520294847  0.05919337002136382  -0.9059369658839023  13.26991565839191
11.281970761280542  14.992324452431907  0.9886268285305934  33.52755984048274  0.45254742574124535  79.19150588959874  146.90244916361533  -0.9353618722166646  -0.21201081065815242  8.888281166745642
10.863904415289129  3.815959416559357  0.036066726919140875  30.53787486962556  0.5485873601344586  73.60960120331774  147.20349897376542  0.2694548543545525  -0.9568777331308407  15.181666491687224
10.926099157177301  4.56258862630723  0.5063035823784352  28.74451305548927  0.25222204891088845  74.02953420759104  147.36295134811166  0.5177780878432423  -0.8836719681765343  17.91048118021301
10.958519991910318  4.783109089776562  0.1307940909716169  34.05785948269828  0.48095298137744696  74.76033641351495  147.38396521029716  0.08144985670295135  -0.6747299906511648  16.9054811730704
11.148756657183359  11.3190577370297  0.7789712060516333  31.873267675005046  0.37483083989250215  76.6749502152704  144.39145685477783  -1.4348075542000527  0.4230307961026858  16.859148117235904
11.355672587673109  22.74124648735377  0.33070866977618374  16.011404765756943  0.9300655503537744  80.58217419626487  148.58055435057116  -0.9735161974651405  -0.040911302417625306  16.872310764393788
11.209884679037149  12.801061414063499  0.3689208522152508  23.368136660859776  0.8923415882660408  79.93652210155213  143.36156208113437  -1.1785851551513025  0.3545253272423481  17.119573239879486
10.940110269313138  4.579712757296133  0.1406601573637887  28.952343023439013  0.4061072309640344  71.22352075933544  146.22992594546275  0.035591377910764166  -0.8794632886059962  14.915020629405376
10.91070907164712  4.493461935112497  0.2544184433359154  28.372580696347967  0.45864560263863086  72.04362774799773  146.69605492393543  0.5811606028419726  -0.9781385107290691  14.733077324139174
11.188316440614482  11.964878400152617  0.4922356163552932  38.31824028693164  0.7864139340767476  78.70321000290991  146.60990379372674  -1.4548431934120605  0.304269446422039  15.643156098695556
11.021818966369885  5.769013442013224  0.010216597659488052  39.91876912915808  0.4674674395107133  63.07146312411082  146.72982161872827  0.028926204662043986  -0.6345349391652172  15.769465811008914
10.972851198384715  4.6535607004928705  0.06257102910656964  34.16386242778191  0.5144027380863329  72.17306340539578  146.790200741401  -0.20512325182182112  -0.7975616672977757  12.000460570083831
10.845930406830481  3.821014885319972  0.7376734099051905  29.70814142679361  0.8712264033827894  76.6125443546258  146.98746716075905  -1.0443611977384024  0.016066044640774546  14.493000419281103
10.93749222527949  4.13895354138015  0.015583444094870856  28.745063877302965  0.38409523450209027  65.89542947998777  147.49825300472983  0.03283059606334238  -0.9154709469823876  13.42605272117811
10.90272648032231  4.569917376704264  0.4405756185613981  30.352035555679095  0.3711599006837187  75.60448964230794  146.46046993001283  0.18490273642505972  -1.0598397210008725  16.69700433692762
10.972804323718847  5.354891557270038  0.07071087933101657  27.844434169467988  0.5442772156874555  74.81783449173085  146.52925818528485  -0.11179715592743145  -0.6431832937080514  14.737231658841068
10.957399835768136  4.455533553158223  0.1400069480204085  34.00738066582669  0.35990581737462035  65.45487820152739  148.28118868228069  0.32756781953332226  -0.8299343027282343  18.556951303470328
10.97015869176682  4.821367172917698  0.06516967402383048  33.85823647748993  0.4430854905519205  74.25794842085372  147.0695611211957  0.5016765049966619  -0.8609597287876243  19.799356110388587
11.032572912360042  5.603131065656964  0.3329538688324328  36.773057788707405  0.8978040921268433  68.81461159855631  147.76984159648353  0.3732610755098138  -0.9908487332281508  11.297353697778874
10.899849841881817  3.8498639740258436  0.0423170705630861  27.049955430074814  0.48942536210392046  64.08830605893935  146.005191114916  -0.08919800735381689  -0.7393165590664171  12.623374388810277
11.001502536569586  5.61279611037981  0.1582825372552335  27.379758677647263  0.5080449430482182  72.69310045372913  147.35828006139133  0.46698197896654925  -0.8766156569068685  17.86110005613513
11.010382089666827  5.143632136729709  0.02558257228978172  39.276507138331844  0.38682861256128237  61.10529303658177  145.19355160808232  -0.08503720888610777  -0.7572046412129015  14.54334417979777
11.055473012820777  6.608372113087612  0.0789488901036882  32.844503329151856  0.5596492209335635  75.19149102196747  147.59464450459404  0.26657262479102517  -0.9888011564969866  12.203996411181677
11.368141836868247  22.216405036699804  0.07840296499522217  12.251158856636918  0.9701395115954605  79.39105974089972  145.27625171215288  -1.1664501911511747  0.16194675738964515  16.74856238829203
10.924683224965529  4.233816978536835  0.38876089917061846  33.87701908960246  0.7651518915409409  71.98315314466059  147.08706991438527  -0.07828684822401388  -0.6000648634154506  14.903487487340385
10.944621031348907  4.7894660623035366  0.42045109740219144  28.180642847929235  0.3930169583480779  73.84197810086609  149.50032992604775  0.43335268507802605  -0.9473990974567444  16.82340300937271
10.849384381406601  3.7222938648230244  0.012057992191746704  25.730595974049702  0.59748466313975  71.77429613627025  147.06895579115158  0.3545944620133712  -0.9355007065681322  14.647313031211226
11.183782331498222  11.447824441622082  0.47426208920535307  32.801256288540365  0.6630140102213696  79.59555123627703  151.26871482120353  -1.4458849761528239  0.027480580405080834  12.845285969083136
